iter	Passed	Remaining
400	19677	29394
401	19712	29323
402	19737	29238
403	19766	29160
404	19792	29078
405	19818	28994
406	19843	28911
407	19873	28835
408	19896	28750
409	19929	28679
410	19971	28620
411	20005	28551
412	20038	28480
413	20088	28434
414	20122	28365
415	20156	28297
416	20183	28218
417	20225	28161
418	20266	28102
419	20292	28022
420	20327	27956
421	20371	27902
422	20403	27831
423	20433	27758
424	20465	27689
425	20490	27609
426	20520	27536
427	20545	27458
428	20575	27386
429	20599	27306
430	20636	27244
431	20684	27196
432	20714	27124
433	20743	27052
434	20776	26984
435	20800	26907
436	20826	26831
437	20852	26756
438	20877	26679
439	20908	26610
440	20931	26532
441	20956	26456
442	20980	26379
443	21010	26310
444	21036	26236
445	21065	26166
446	21085	26085
447	21123	26027
448	21151	25956
449	21176	25882
450	21208	25817
451	21228	25737
452	21258	25670
453	21283	25596
454	21311	25526
455	21333	25450
456	21356	25375
457	21390	25313
458	21413	25238
459	21435	25163
460	21459	25090
461	21483	25017
462	21512	24950
463	21538	24880
464	21562	24808
465	21608	24762
466	21664	24726
467	21703	24671
468	21723	24595
469	21751	24528
470	21772	24453
471	21794	24380
472	21817	24308
473	21849	24246
474	21877	24180
475	21904	24113
476	21922	24037
477	21953	23974
478	21976	23903
479	22004	23838
480	22035	23776
481	22064	23712
482	22090	23645
483	22116	23578
484	22139	23509
485	22165	23442
486	22193	23378
487	22224	23317
488	22255	23257
489	22282	23192
490	22307	23125
491	22333	23059
492	22362	22997
493	22386	22930
494	22410	22862
495	22431	22792
496	22460	22732
497	22486	22666
498	22509	22599
499	22538	22538
500	22564	22474
501	22592	22412
502	22627	22357
503	22671	22311
504	22703	22253
505	22730	22191
506	22764	22136
507	22806	22088
508	22845	22037
509	22884	21986
510	22933	21946
511	22974	21897
512	23033	21866
513	23081	21824
514	23109	21763
515	23137	21702
516	23161	21638
517	23195	21583
518	23215	21516
519	23247	21459
520	23279	21403
521	23306	21341
522	23330	21278
523	23354	21215
524	23380	21153
525	23404	21090
526	23432	21031
527	23460	20972
528	23489	20914
529	23517	20854
530	23553	20803
531	23576	20740
532	23599	20677
533	23638	20628
534	23680	20581
535	23703	20519
536	23733	20463
537	23759	20403
538	23790	20347
539	23816	20287
540	23842	20228
541	23866	20167
542	23889	20106
543	23919	20049
544	23950	19995
545	23973	19933
546	24001	19877
547	24030	19820
548	24052	19758
549	24070	19694
550	24095	19634
551	24121	19577
552	24149	19520
553	24180	19466
554	24203	19406
555	24237	19355
556	24256	19291
557	24281	19233
558	24314	19182
559	24345	19128
560	24366	19067
561	24390	19009
562	24427	18960
563	24455	18905
564	24481	18848
565	24510	18794
