iter	RMSE
160	0.4275710723
161	0.4274323471
162	0.4273354394
163	0.4272499403
164	0.4271569669
165	0.4271028057
166	0.4269630451
167	0.4268007702
168	0.4266492315
169	0.4265376137
170	0.4263593
171	0.4262305234
172	0.4261273864
173	0.4260167485
174	0.4259442238
175	0.4258134632
176	0.4257355904
177	0.4256656993
178	0.4255358662
179	0.4254161117
180	0.4253251879
181	0.4252492468
182	0.4251597163
183	0.425108299
184	0.4249992369
185	0.4248822478
186	0.424803939
187	0.424737132
188	0.4246437931
189	0.4246061232
190	0.4244981024
191	0.4243880682
192	0.4242141952
193	0.4241175155
194	0.4239866466
195	0.4238502872
196	0.4237586834
197	0.4236512058
198	0.4235301572
199	0.4234376167
200	0.4233490466
201	0.4231960067
202	0.4230332914
203	0.4229272225
204	0.4228448987
205	0.4227675965
206	0.4227114465
207	0.4226460668
208	0.4225511322
209	0.4225013938
210	0.4224332642
211	0.4223626826
212	0.4222757498
213	0.4222106079
214	0.4221092924
215	0.4220448187
216	0.4219706317
217	0.4218285942
218	0.4217764381
219	0.4217408971
220	0.421637699
221	0.4215350608
222	0.4213869994
223	0.4213417648
224	0.4212680067
225	0.4211662214
226	0.4210558412
227	0.4209422674
228	0.4208578757
229	0.4207833884
230	0.4207146838
231	0.4206275285
232	0.4205209129
233	0.420437684
234	0.4202999393
235	0.4201969291
236	0.4201707729
237	0.4200692628
238	0.4199865626
239	0.4199395905
240	0.4198408308
241	0.4197998952
242	0.4196985583
243	0.4196104776
244	0.4195295929
245	0.4195148895
246	0.4194355357
247	0.4193939228
248	0.4193762301
249	0.4192880541
250	0.4192485102
251	0.4191948907
252	0.4190966619
253	0.4190321288
254	0.4189332194
255	0.418848737
256	0.4187367717
257	0.4186408215
258	0.4185621874
259	0.4185192736
260	0.4184809582
261	0.4183948856
262	0.4183534354
263	0.4182312259
264	0.4181441143
265	0.4181236974
266	0.4180764278
267	0.4179721123
268	0.417904023
269	0.4178552297
270	0.4178059061
271	0.4177936103
272	0.4177090206
273	0.4176408753
274	0.4175929992
275	0.4175881571
276	0.4175036341
277	0.4173677902
278	0.417307346
279	0.4172367019
280	0.4171983139
281	0.417138818
282	0.4170931875
283	0.4170424686
284	0.4169698808
285	0.4169350666
286	0.4168667595
287	0.4168258697
288	0.4167527966
289	0.4166909662
290	0.4165912892
291	0.4165337238
292	0.4164792558
293	0.4163725112
294	0.4162881187
295	0.4161454278
296	0.4160631567
297	0.4159628573
298	0.4159221151
299	0.4159002299
300	0.4158438326
301	0.4157356905
302	0.4156614365
303	0.4155333613
304	0.4154753003
305	0.4153807214
306	0.4152702356
307	0.4152168157
308	0.4151765098
309	0.4150925018
310	0.4150588057
311	0.4149866353
312	0.414940548
313	0.4148767787
314	0.4147977481
315	0.4147500309
316	0.4147062507
317	0.4146465037
318	0.4145957905
319	0.4145559126
320	0.4144855179
321	0.4144598979
322	0.4143970958
323	0.4143433613
324	0.414308107
325	0.4142426109
326	0.4142113342
327	0.4141672349
328	0.4140867489
329	0.4140174323
330	0.4139797286
331	0.4139284036
332	0.4139064954
333	0.4138052758
334	0.4137844485
335	0.4137567095
336	0.4136949242
337	0.4136845898
338	0.413589246
339	0.4135540715
340	0.4135054217
341	0.4134403481
342	0.413361714
343	0.4133374494
344	0.4132744534
345	0.4131783885
346	0.4130994014
347	0.4130612538
348	0.4130005403
349	0.4129693877
350	0.4129455451
351	0.4128668862
352	0.4128338427
353	0.4128186898
354	0.4126987636
355	0.4126357405
356	0.412567819
357	0.4125127248
358	0.4124571862
359	0.4124330232
360	0.4123770548
361	0.4123050138
362	0.4122680957
363	0.4122159436
364	0.4121449912
365	0.412114723
366	0.4120868496
367	0.4120624151
368	0.4119884557
369	0.4119581306
370	0.4118943755
371	0.411867074
372	0.4117807859
373	0.4116949514
374	0.411645449
375	0.4115852115
376	0.4115603184
377	0.4114759863
378	0.4114257035
379	0.4113706047
380	0.4113596944
381	0.4113045963
382	0.4112138892
383	0.411176902
384	0.4111280789
385	0.4110489868
386	0.410975051
387	0.4108854618
388	0.4108262991
389	0.4107687842
390	0.410679475
391	0.4106194599
392	0.4105655946
393	0.4104683255
394	0.4104041419
395	0.4103741594
396	0.410314732
397	0.4102386178
398	0.4102136559
399	0.4101985313
400	0.4101525621
401	0.4101241689
402	0.410029802
403	0.4099810987
404	0.409936973
405	0.4099063151
406	0.4098539517
407	0.4097650754
408	0.4097319973
409	0.4096376228
410	0.4095998526
411	0.4095520016
412	0.409531203
413	0.4095146507
414	0.409454119
415	0.4094194538
416	0.4093875385
417	0.4093383094
418	0.4092582715
419	0.4092223699
420	0.4091672735
421	0.4091052889
422	0.40902394
423	0.4089669221
424	0.4089101454
425	0.40885978
426	0.4087812871
427	0.4087481248
428	0.4086939566
429	0.4086647322
430	0.4086394855
431	0.4085563622
432	0.4084919615
433	0.4084032049
434	0.408326804
435	0.408294898
436	0.4082691101
437	0.4082044409
438	0.4081537123
439	0.4080971571
440	0.4080575157
441	0.4080069405
442	0.4079840842
443	0.4079679939
444	0.4079036912
445	0.4078829854
446	0.4078535917
447	0.4078312994
448	0.4077927207
449	0.4077469707
450	0.4077282686
451	0.4077167649
452	0.4076748774
453	0.4075840513
454	0.4075447377
455	0.4075103673
456	0.407467925
457	0.4073848277
458	0.407351247
459	0.4073360849
460	0.407275708
461	0.4072119732
462	0.4071867665
463	0.4071457476
464	0.4070540101
465	0.4069818207
466	0.406954963
467	0.4069104543
468	0.4068614762
469	0.4068115499
470	0.406781758
471	0.4067514931
472	0.4067045942
473	0.4066763138
474	0.4066500686
475	0.4066107703
476	0.4065906418
477	0.4065760912
478	0.4065285642
479	0.4064772134
480	0.4064476176
481	0.4064168904
482	0.4063990299
483	0.4063460498
484	0.4062841303
485	0.4062626291
486	0.4062328402
487	0.4061776356
488	0.406110923
489	0.4060584119
490	0.4059497234
491	0.4058597514
492	0.405799898
493	0.4057247153
494	0.4057012796
495	0.4056416786
496	0.4055466394
497	0.4055093277
498	0.4054323306
499	0.4053409075
500	0.4053084032
501	0.4052946571
502	0.4052727609
503	0.4052401208
504	0.4051742199
505	0.4051095349
506	0.4050903201
507	0.4050712016
508	0.4050357789
509	0.4049897224
510	0.4049454449
511	0.4049225487
512	0.4048938573
513	0.4048502965
514	0.4047974807
515	0.4047303719
516	0.4046929624
517	0.4046433789
518	0.4046267619
519	0.4045678599
520	0.4045233297
521	0.4044546221
522	0.4043984191
523	0.4043721613
524	0.404351058
525	0.4042804479
526	0.4042260836
527	0.4041874266
528	0.4041365773
529	0.4041018985
530	0.4040291654
531	0.4040067335
532	0.4039822711
533	0.4039419758
534	0.403877341
535	0.4038232543
536	0.4037755227
537	0.4037491834
538	0.4037062008
539	0.4036851626
540	0.4036411767
541	0.4036159714
542	0.4035934112
543	0.4035515165
544	0.4035102912
545	0.4034697093
546	0.4033962152
547	0.4033701719
548	0.4033092334
549	0.4032922255
550	0.4032492902
551	0.4032096488
552	0.4031686842
553	0.4031373727
554	0.4031038103
555	0.4030258066
556	0.4030048739
557	0.4029753084
558	0.4029052658
559	0.4028639925
560	0.402836116
561	0.4028226108
562	0.4027968498
563	0.4027577562
564	0.4027220709
565	0.4026766868
566	0.4026645337
567	0.4025993648
568	0.4025514808
569	0.4025385548
570	0.4025148387
571	0.4024510882
572	0.402400371
573	0.4023795187
574	0.4023485269
575	0.4023226724
576	0.4022733882
577	0.4022189196
578	0.4021454967
579	0.4020939051
580	0.4020006354
581	0.4019461024
582	0.4019048025
583	0.4018593833
584	0.4018464296
585	0.4018235976
586	0.4017865393
587	0.4017414312
588	0.4016848054
589	0.4016308622
590	0.4016224683
591	0.4015958454
592	0.4015653547
593	0.4015095948
594	0.4014544368
595	0.4013980523
596	0.4013496451
597	0.4013264443
598	0.4012853834
599	0.4012154808
600	0.4011687816
601	0.4010984989
602	0.4010589335
603	0.4010088966
604	0.4009386737
605	0.4009100031
606	0.4007996606
607	0.4007771737
608	0.4007095884
609	0.4006617294
610	0.4006378895
611	0.4006036915
612	0.4005642834
613	0.400524952
614	0.4004668797
615	0.4004272285
616	0.4004100407
617	0.4003533786
618	0.4003139305
619	0.4002806379
620	0.4002485831
621	0.4001484785
622	0.4000805082
623	0.4000393071
624	0.3999866421
625	0.399958918
626	0.3999234803
627	0.3998977903
628	0.3998798919
629	0.3998275618
630	0.3998021192
631	0.399764136
632	0.3997544104
633	0.399724409
634	0.3996857583
635	0.3996352375
636	0.3995942473
637	0.3995469889
638	0.3995282687
639	0.3994624246
640	0.3994073897
641	0.3993291903
642	0.3993062303
643	0.3993017427
644	0.3992667057
645	0.399235975
646	0.3991893963
647	0.3991379223
648	0.3991169137
649	0.3990219636
650	0.3989685378
651	0.3988750513
652	0.3988707089
653	0.3988607556
654	0.3988314718
655	0.3987817534
656	0.3987768224
657	0.3987517319
658	0.3987113388
659	0.3986925414
660	0.3986354422
661	0.3986080952
662	0.3985400841
663	0.3984971614
664	0.3984611832
665	0.3984320853
666	0.398398137
667	0.3983478135
668	0.3983219576
669	0.3982571092
670	0.3982184305
671	0.3981946651
672	0.3981681137
673	0.3981428612
674	0.3981337458
675	0.3981172164
676	0.3980665234
677	0.3980298264
678	0.3980010085
679	0.3979742578
680	0.3979335192
681	0.3979018428
682	0.3978757508
683	0.3978433365
684	0.3978154521
685	0.3977678141
686	0.3977500668
687	0.3977338236
688	0.3977106097
689	0.3976795675
690	0.3976563687
691	0.3975896964
692	0.3975602945
693	0.3975295457
694	0.397489918
695	0.3974406905
696	0.3974080338
697	0.3973846443
698	0.3973633513
699	0.397322106
700	0.3972433714
701	0.3972295386
702	0.3971843757
703	0.3971199893
704	0.3971073617
705	0.3970207469
706	0.3969867804
707	0.3969740097
708	0.3969471427
709	0.3969046191
710	0.3968830405
711	0.3968425183
712	0.3967987974
713	0.3967719472
714	0.3967370856
715	0.3967161655
716	0.3966785497
717	0.3966565102
718	0.3966417806
719	0.3965914115
720	0.3965001561
721	0.396457159
722	0.3964282285
723	0.3963898953
724	0.3963552404
725	0.396249935
726	0.3962243248
727	0.3962174686
728	0.3961899265
729	0.3961338799
730	0.396115141
731	0.3960917787
732	0.3960623501
733	0.395955796
734	0.3959247711
735	0.3958949629
736	0.3958712293
737	0.3958506401
738	0.3957955021
739	0.3957517342
740	0.3957093126
741	0.3956722529
742	0.3956523621
743	0.3956178885
744	0.3955924694
745	0.3955443016
746	0.3955375352
747	0.3954848787
748	0.3954825144
749	0.3954568753
750	0.3954346772
751	0.3954180323
752	0.3953995427
753	0.3953774051
754	0.3953139078
755	0.3952920081
756	0.3952714696
757	0.3952559424
758	0.3951735353
759	0.3951465079
760	0.3950910888
761	0.3950654525
762	0.3950299311
763	0.3949892948
764	0.3949025377
765	0.394884272
766	0.3948333853
767	0.3948117996
768	0.3948057913
769	0.3947768485
770	0.3947125412
771	0.3946908685
772	0.3946848849
773	0.3946294848
774	0.3945769359
775	0.3945151635
776	0.3944774103
777	0.394459423
778	0.3944361094
779	0.3944166231
780	0.3944003839
781	0.3943582731
782	0.3943376613
783	0.3943038813
784	0.3942912198
785	0.3942425122
786	0.3942040327
787	0.3941295286
788	0.3940945119
789	0.3940854766
790	0.394058467
791	0.3940323259
792	0.3940195335
793	0.3939759068
794	0.3939496462
795	0.3939159686
796	0.393899683
797	0.3938317608
798	0.3938217734
799	0.3937908245
800	0.3937581549
801	0.3937411038
802	0.3937284046
803	0.3936740366
804	0.3936013668
805	0.3935750338
806	0.3935440271
807	0.393535004
808	0.3934830199
809	0.3934578834
810	0.3934202163
811	0.3933868425
812	0.3933636528
813	0.3933177185
814	0.3932979564
815	0.3932481869
816	0.3932065393
817	0.3931635636
818	0.3931337458
819	0.3931032581
820	0.3930597036
821	0.3930247776
822	0.3930161463
823	0.3929922009
824	0.392983966
825	0.392947685
826	0.3928940642
827	0.392858395
828	0.3928038351
829	0.392779403
830	0.3927580317
831	0.3927449309
832	0.3927157549
833	0.3926933763
834	0.3926749894
835	0.3926543171
836	0.39264744
837	0.3926156581
838	0.3925782858
839	0.3925398193
840	0.3924812621
841	0.3924463494
842	0.3924239702
843	0.3923947142
844	0.3923734265
845	0.3923521739
846	0.3923003574
847	0.39227081
848	0.3922278907
849	0.3921902661
850	0.3921793832
851	0.3921413494
852	0.3921252125
853	0.392102027
854	0.3920761546
855	0.3920478082
856	0.3920264982
857	0.391980646
858	0.3919674427
859	0.3919543291
860	0.3919422561
861	0.3918905496
862	0.3918559832
863	0.3918256399
864	0.3917945297
865	0.391732416
866	0.3916824894
867	0.3916305043
868	0.3915980625
869	0.3915402476
870	0.3915048853
871	0.3914439806
872	0.3914083903
873	0.3913541892
874	0.3913208125
875	0.3912890379
876	0.3912613751
877	0.3912352551
878	0.3912114343
879	0.391167323
880	0.3911580223
881	0.3911479182
882	0.3911259957
883	0.3911118586
884	0.3910913882
885	0.3910663751
886	0.3910222148
887	0.3909696148
888	0.3909595758
889	0.3909165944
890	0.3908485526
891	0.3908208737
892	0.3907862669
893	0.3907446958
894	0.3906835344
895	0.390673131
896	0.3906161076
897	0.390582043
898	0.3905444765
899	0.3905232914
900	0.3905002421
901	0.390466341
902	0.3904453898
903	0.3904037784
904	0.3903660177
905	0.3903080051
906	0.3902596225
907	0.3902545819
908	0.3902365068
909	0.3902283224
910	0.3901526016
911	0.3901169117
912	0.3901065429
913	0.3900779399
914	0.3900430377
915	0.3900228404
916	0.3899703787
917	0.3899129514
918	0.3898971171
919	0.3898676022
920	0.3898387916
921	0.3898303151
922	0.3897930252
923	0.3897561635
924	0.3897213324
925	0.3896670062
926	0.3896104453
927	0.3895861723
928	0.3895617425
929	0.389529189
930	0.3894849915
931	0.3894583579
932	0.3894454614
933	0.3894191871
934	0.3893756545
935	0.3893375118
936	0.3893077462
937	0.3892782302
938	0.3892119463
939	0.3891870121
940	0.3891680036
941	0.3891433259
942	0.389121499
943	0.3891039509
944	0.3890828657
945	0.3890382805
946	0.3890033216
947	0.3889741033
948	0.3889326674
949	0.3888652953
950	0.3888514699
951	0.3888357879
952	0.38883221
953	0.3887482354
954	0.3887072117
955	0.3886501277
956	0.3886372283
957	0.3886087197
958	0.3885654447
959	0.3885412569
960	0.3885022486
961	0.3884658243
962	0.3884610093
963	0.3884042041
964	0.388381219
965	0.3883281855
966	0.3883050687
967	0.3882922508
968	0.3882885295
969	0.388239958
970	0.3881887879
971	0.3881634477
972	0.3881544944
973	0.3881406587
974	0.3881021072
975	0.3880511354
976	0.3880330104
977	0.388007275
978	0.387989163
979	0.3879607684
980	0.3879204347
981	0.3878825116
982	0.3878012593
983	0.3877798566
984	0.3877570903
985	0.3877321178
986	0.3877159933
987	0.3877024913
988	0.3876856624
989	0.3876497773
990	0.3876264725
991	0.387608692
992	0.3875498307
993	0.3875357645
994	0.387493047
995	0.3874769217
996	0.3874301008
997	0.3873934183
998	0.3873865857
999	0.3873453588
